Datetime,Open,High,Low,Close,Volume,body_mid,momentum,return_1,avg_volume,volume_spike,volatility,directional_volume,atr_14,atr_ratio,adx_14,trending_market,ranging_market,high_volatility_market,low_volatility_market,rolling_avg_momentum,compression_width,lower_wick,upper_wick,wick_ratio,bearish_sequence_strength,bullish_sequence_strength,volatility_expansion,pivot_mean,pivot_distance,symbol,swing_high,swing_low,swing_high_score,swing_low_score,anchored_support,anchored_resistance,support_anchor_1_position,support_anchor_1_price,support_anchor_2_position,support_anchor_2_price,resistance_anchor_1_position,resistance_anchor_1_price,resistance_anchor_2_position,resistance_anchor_2_price,distance_to_anchored_support,distance_to_anchored_resistance,anchored_breakout,anchored_breakdown,failed_breakdown,trend_slope_50,trend_slope_100,ma_20,ma_50,ma_100,bullish_cross_20_50,bearish_cross_20_50,bullish_cross_50_100,bearish_cross_50_100,ma_cross_distance_20_50,ma_cross_distance_50_100,rolling_higher_highs,rolling_lower_lows,directional_persistence,equilibrium_trend_distance,target_d,target_p
2026-05-05 15:15:00+05:30,2469.9,2469.9,2455.5,2462.0,187502,2465.95,-22.800000000000182,-0.0028351559335763055,48334.35,3.879270125697356,0.00186162496377014,-1481265.800000017,10.478571428571447,0.0042561216200533904,13.287608783027851,0,1,0,0,-4.989999999999964,41.5,6.5,0.0,6500000000.0,3.0,2.0,0.7512570897475439,2477.195,-0.0061718115353371905,ADANIENT.NS,0,1,0.0,0.0,2474.8,2504.605633802817,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,-0.005199025182778303,0.017305293989771327,0,1,0,0.21974549819928524,1.0777353735373563,2477.195,2477.416,2437.98,0,1,0,0,-8.976441917140684e-05,0.01601787164906586,7.0,11.0,-0.2,0.0012343623070674382,2,0.019983753046303745
2026-05-06 09:15:00+05:30,2480.0,2510.0,2480.0,2482.9,376733,2481.45,2.800000000000182,0.008489033306255056,63581.6,5.925189048403941,0.003586604416393811,1092525.7000000342,13.335714285714305,0.005371023515129206,14.058031925860522,0,1,0,0,-6.319999999999936,54.5,0.0,27.09999999999991,0.0,3.0,2.0,1.4488389733788702,2477.455,0.002193000120826519,ADANIENT.NS,0,0,0.0,0.0,2475.516666666667,2505.450704225352,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.0029736732584208837,0.0090824053426848,0,0,0,0.05971188475388902,1.0959477947794618,2477.455,2478.938,2438.569,0,0,0,0,-0.0005972854323573944,0.01625881026219346,8.0,10.0,-0.1,-0.0002193000120826519,2,0.011397962060493667
2026-05-06 09:30:00+05:30,2483.4,2508.8,2483.0,2496.0,164013,2489.7,16.199999999999818,0.0052760884449634116,70176.35,2.3371548962007855,0.003915016377586948,2066563.7999999851,14.207142857142864,0.005691964285714289,14.752916642218635,0,1,0,0,-5.3599999999999905,54.5,0.40000000000009095,12.800000000000182,0.031249999997565257,2.0,3.0,1.5741152550723818,2478.66,0.006947115384615443,ADANIENT.NS,0,0,0.0,0.0,2476.233333333333,2506.2957746478874,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.007919337606837691,0.00412490971469846,0,0,0,-0.003337334933970641,1.1222658265826526,2478.66,2480.1220000000003,2439.272,0,0,0,0,-0.0005857371794873573,0.016366185897436044,8.0,10.0,0.0,0.0,0,-0.009254807692307656
2026-05-06 09:45:00+05:30,2497.0,2511.2,2482.2,2485.0,175659,2491.0,13.0,-0.004407051282051322,76487.35,2.2965758390112874,0.004156059151018603,-2107908.0,15.5,0.006237424547283702,16.331608169486294,0,1,0,0,-4.669999999999982,55.69999999999982,2.800000000000182,14.199999999999818,0.1971830985776785,2.0,3.0,1.6562207796425492,2479.215,0.002327967806840988,ADANIENT.NS,1,0,1.1590367146101326,0.0,2476.95,2507.1408450704225,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.003239436619718383,0.00890979680902315,0,0,0,0.0017190876350426903,1.1419327932793215,2479.215,2480.272,2439.853,0,0,0,0,-0.0004253521126759714,0.016265191146881235,9.0,11.0,-0.1,-0.0002327967806840988,2,0.007243460764587525
2026-05-06 10:00:00+05:30,2485.3,2485.3,2475.7,2479.6,78123,2482.45,2.199999999999818,-0.0021730382293763117,78127.2,0.999946241513839,0.004224055281701622,-445301.10000002134,15.571428571428603,0.006279814716659382,14.293079348770549,0,1,0,0,-5.230000000000018,55.69999999999982,3.900000000000091,0.0,3900000000.0000906,3.0,2.0,1.6677205246766977,2479.285,0.0001270366188095074,ADANIENT.NS,0,0,0.0,0.0,2477.6666666666665,2507.9859154929577,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.0007796956498360196,0.011447780082657604,0,0,1,-0.06420168067226907,1.1578763876387614,2479.285,2480.784,2440.377,0,0,0,0,-0.0006045329891919064,0.016295773511856813,8.0,12.0,-0.2,-2.540732376190148e-05,2,0.009437005968704667
2026-05-06 10:15:00+05:30,2479.9,2487.7,2472.9,2486.7,81330,2483.3,9.899999999999636,0.002863365058880518,80978.3,1.0043431388408992,0.00415370156516888,553043.9999999778,16.035714285714285,0.006448592224922301,13.247936610326574,0,1,0,0,-3.7200000000000726,55.69999999999982,7.0,1.0,6.999999992999999,2.0,3.0,1.6271156240714373,2479.92,0.0027265050066351978,ADANIENT.NS,0,1,0.0,1.2363045302013256,2478.383333333333,2508.830985915493,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.0033444591895550758,0.008899740988254738,0,0,1,-0.12322208883553369,1.1748634863486278,2479.92,2481.498,2441.014,0,0,0,0,-0.0006345759440221879,0.01628021072103588,9.0,12.0,-0.1,-0.0002726505006635198,2,0.007479792496079288
2026-05-06 10:30:00+05:30,2486.0,2489.0,2483.0,2488.8,27863,2487.4,21.100000000000364,0.000844492701170374,81099.7,0.3435647727426859,0.004118400805478876,78016.40000000507,15.535714285714286,0.00624225099876016,14.207077464982873,0,1,0,0,-0.9700000000000273,55.69999999999982,3.0,0.1999999999998181,14.999999925013643,2.0,3.0,1.6011406504030807,2480.7599999999998,0.0032304725168757708,ADANIENT.NS,0,0,0.0,0.0,2479.1,2509.676056338028,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.003897460623593809,0.00838800077869972,0,0,0,-0.14987274909963957,1.2019699969997006,2480.7599999999998,2482.002,2441.513,0,0,0,0,-0.0004990356798457847,0.01626848280295726,10.0,11.0,0.0,0.0,2,0.006910961105753704
2026-05-06 10:45:00+05:30,2488.4,2488.5,2480.4,2481.5,28984,2484.95,12.5,-0.0029331404693025975,81268.3,0.35664582623236857,0.004255505867229067,-199989.60000000263,15.021428571428585,0.006053366339483612,13.780417473186276,0,1,0,0,1.0899999999999637,55.69999999999982,1.099999999999909,0.09999999999990905,10.999999890009097,3.0,2.0,1.5971834941088239,2480.975,0.0002115655853314894,ADANIENT.NS,0,0,0.0,0.0,2479.8166666666666,2510.521126760563,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.0006783531466183333,0.011694993657289229,0,0,0,-0.14909963985593147,1.2155349534953517,2480.975,2481.976,2442.081,0,0,0,0,-0.00040338504936538534,0.01607696957485391,9.0,12.0,-0.1,-2.1156558533148943e-05,2,0.014628249042917664
2026-05-06 11:00:00+05:30,2481.5,2491.6,2480.0,2488.0,43667,2484.75,26.0,0.0026193834374370617,81494.3,0.5358288861920404,0.004081074888592128,283835.5,14.971428571428564,0.0060174552135966895,14.959983141025177,0,1,0,0,5.989999999999964,55.69999999999982,1.5,3.599999999999909,0.4166666665509364,2.0,3.0,1.481612558722733,2481.185,0.0027391479099678675,ADANIENT.NS,0,0,0.0,0.0,2480.5333333333333,2511.3661971830984,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.0030010718113612127,0.009391558353335367,0,0,1,-0.07878511404563025,1.2270069006900677,2481.185,2481.638,2442.801,0,0,0,0,-0.0001820739549839126,0.01560972668810289,9.0,13.0,-0.1,-0.0002739147909967868,2,0.018488745980707395
2026-05-06 11:15:00+05:30,2489.0,2496.1,2485.9,2496.1,49298,2492.55,13.199999999999818,0.0032556270096462114,82336.9,0.5987351964914881,0.004149425520766897,350015.7999999955,15.042857142857136,0.0060265442661981234,15.467868094259192,0,1,0,0,9.409999999999945,55.69999999999982,3.099999999999909,0.0,3099999999.999909,1.0,4.0,1.4417014648253759,2481.745,0.005750971515564288,ADANIENT.NS,0,0,0.0,0.0,2481.25,2512.211267605634,63.0,2449.0,93.0,2470.5,19.0,2437.0,90.0,2497.0,0.005949280878169909,0.006454576181096155,0,0,0,0.021762304921958277,1.231517551755171,2481.745,2481.384,2443.782,1,0,0,0,0.00014462561596084944,0.015064300308481176,10.0,12.0,-0.1,-0.0005750971515564289,2,0.020191498738031367
